source=0
sink=99
width=10
height=11
69,18,13
69,12,16
69,59,54
69,56,41
69,11,39
69,38,28
84,46,27
84,11,98
84,38,49
84,99,93
84,60,48
84,59,31
84,61,76
17,94,99
17,27,61
17,69,3
61,68,34
61,37,79
61,85,27
61,22,66
8,2,41
8,90,62
8,17,40
8,35,95
8,60,95
8,22,15
8,32,68
74,89,22
74,40,33
74,64,96
42,99,4
42,45,93
42,38,63
42,76,54
42,70,3
55,91,79
55,42,73
55,69,32
55,11,53
55,94,20
55,96,8
55,76,61
38,80,5
38,71,23
38,8,84
38,88,78
93,63,86
93,70,9
93,90,15
93,58,3
93,46,35
93,34,77
93,40,6
93,44,10
93,79,5
44,31,67
44,81,58
44,20,31
44,52,15
44,49,69
47,96,31
47,27,23
47,10,22
47,86,24
47,75,47
47,66,2
47,19,44
72,73,55
72,25,76
72,98,94
72,63,66
72,83,56
24,82,88
24,69,89
24,53,71
24,48,43
24,6,58
24,8,66
79,63,59
79,22,84
79,75,4
79,98,44
79,4,65
98,64,6
98,11,94
90,67,1
35,54,6
35,89,69
96,19,35
96,1,90
96,73,47
96,81,17
96,52,72
96,87,8
96,33,6
96,39,45
96,84,9
96,25,56
56,70,66
56,86,14
82,83,43
82,33,31
88,83,90
88,47,15
88,92,91
88,45,85
88,48,68
88,66,93
91,53,64
91,38,15
91,70,97
91,22,22
91,8,13
91,20,28
94,88,78
94,90,66
94,98,14
94,86,66
59,50,66
59,53,12
92,16,55
92,73,95
92,78,67
92,85,26
92,17,4
92,99,35
92,80,56
92,10,49
95,4,46
95,96,80
95,75,52
95,93,75
39,16,38
39,85,69
39,51,44
39,34,89
39,23,27
39,98,98
34,28,32
34,86,67
34,79,13
34,4,37
34,81,93
34,46,92
34,43,92
60,2,83
60,3,38
60,74,73
60,51,64
60,23,24
60,95,3
60,31,67
60,37,23
3,65,86
3,28,37
3,5,56
3,75,47
3,70,47
3,15,58
64,26,6
64,78,86
64,5,36
64,13,47
64,84,29
64,20,43
64,34,22
64,23,46
22,56,22
22,90,26
22,70,77
46,20,67
46,90,44
46,11,84
46,6,22
46,56,66
46,26,53
46,13,50
46,51,29
23,84,96
23,17,59
23,22,63
23,48,3
23,8,10
23,83,67
80,72,45
80,90,36
80,32,75
10,40,5
10,11,89
10,82,83
10,80,12
10,46,92
10,69,37
10,51,27
16,88,41
16,46,2
16,29,32
16,17,43
62,16,17
62,37,90
62,8,98
62,39,25
11,58,25
11,44,14
11,81,63
11,47,32
11,92,31
28,90,89
28,1,89
28,64,28
15,12,52
36,54,95
36,6,33
36,51,36
36,40,34
36,29,3
36,23,2
12,71,13
12,20,25
12,5,4
12,62,72
12,9,23
1,39,58
1,15,62
1,71,63
1,62,25
1,86,27
1,52,24
25,23,22
25,51,68
25,10,48
25,2,97
25,63,53
25,95,39
25,43,21
13,54,92
13,24,33
13,39,73
13,40,21
13,73,32
33,91,37
33,10,67
33,52,62
33,99,17
33,97,91
33,39,73
33,76,56
89,84,63
89,13,42
89,91,6
89,73,21
89,51,68
89,56,91
89,98,78
89,16,63
97,76,78
83,36,65
83,62,84
83,51,38
83,97,2
49,26,26
49,52,35
49,63,60
49,53,24
49,10,11
49,97,52
81,30,29
81,5,17
81,91,7
9,36,57
9,84,42
9,10,75
21,46,98
21,50,78
21,1,56
21,79,15
70,5,86
70,31,81
63,43,63
63,50,81
63,58,99
63,52,61
63,59,61
63,12,27
5,39,48
5,99,42
5,9,67
5,69,86
5,86,34
5,88,65
5,89,1
5,54,75
7,92,64
7,11,69
7,87,54
7,17,18
7,63,45
7,21,59
7,36,28
7,93,10
7,33,21
32,13,15
32,60,97
32,41,75
32,85,18
0,48,55
0,16,41
0,53,6
0,29,30
67,55,46
67,81,5
67,89,54
67,21,84
53,29,24
53,32,52
53,99,39
53,89,28
53,19,41
54,4,10
54,45,52
54,10,48
54,29,26
54,84,50
54,56,51
54,65,79
14,59,81
14,39,89
14,72,56
14,34,49
14,95,4
14,1,6
14,61,95
14,11,20
43,33,7
43,38,12
43,60,7
57,14,74
57,82,29
57,36,84
57,87,65
57,51,91
65,5,37
65,69,82
65,55,95
65,18,93
58,99,14
58,70,47
58,98,4
58,39,88
58,64,56
58,66,32
58,44,96
58,19,21
75,33,11
75,58,62
75,71,51
75,12,97
75,30,90
75,21,40
75,82,89
20,57,81
20,27,71
20,8,20
20,4,39
20,89,3
4,19,53
4,74,69
4,26,33
4,5,90
4,91,43
27,87,74
27,65,12
68,76,38
68,77,56
68,81,45
68,45,75
68,99,74
68,46,33
68,22,32
68,97,38
50,35,12
50,27,75
71,49,84
71,80,6
71,14,66
71,86,87
71,8,42
71,29,59
71,99,78
71,50,67
86,45,19
86,33,37
86,44,94
86,87,74
86,26,72
77,42,91
77,85,77
77,2,42
77,19,77
77,27,9
77,23,44
77,84,80
77,38,8
77,46,39
77,65,98
41,15,52
41,17,27
41,30,93
41,74,8
85,50,88
85,86,68
85,97,66
85,51,47
85,43,33
40,16,76
40,90,79
40,99,96
40,33,22
40,12,69
40,95,32
40,58,91
40,75,76
40,67,80
18,42,77
18,93,80
18,58,64
18,44,88
18,28,34
18,60,76
18,84,59
18,80,64
18,59,7
26,17,7
48,14,49
48,34,59
48,89,53
48,78,62
48,63,33
48,16,73
73,21,25
73,95,54
73,84,76
73,35,19
73,93,90
73,79,28
6,80,23
6,45,49
6,40,63
6,1,4
6,74,9
45,30,55
45,4,99
45,59,76
2,18,38
2,15,72
30,85,41
30,56,34
30,5,29
30,23,30
30,95,22
37,92,99
37,36,11
37,76,71
37,16,10
37,66,44
31,63,22
31,41,22
31,98,50
31,47,31
31,28,32
51,45,33
51,44,58
51,26,64
51,41,77
52,18,56
52,58,9
52,20,21
29,69,39
29,67,63
29,73,31
29,76,1
29,31,31
66,86,78
66,1,86
66,80,72
66,83,79
66,31,45
66,32,13
66,39,12
19,14,80
19,15,26
78,15,25
78,87,46
87,98,4
87,10,4
87,50,76
87,9,78
87,45,79
76,44,37
76,64,7
